date,time,weather,temp,humidity,speed,degrees
2023-04-09,18:38:45,moderate rain,12.61,8.75,200,80
2023-04-09,18:55:18,broken clouds,12.4,81,8.75,200
2023-04-10,16:20:02,light rain,9.23,72,12.86,290
2023-04-10,16:25:01,light rain,9.16,72,12.86,290
2023-04-10,16:30:02,light rain,9.23,72,12.86,290
2023-04-10,16:35:01,broken clouds,9.04,75,12.86,290
2023-04-10,16:40:01,broken clouds,9.04,75,12.86,290
2023-04-10,16:45:02,broken clouds,9.04,75,12.86,290
2023-04-10,16:50:02,heavy intensity rain,9,76,9.26,260
2023-04-10,16:55:01,heavy intensity rain,9.13,75,9.26,260
2023-04-10,17:00:02,moderate rain,9.06,76,9.26,260
2023-04-10,17:05:01,moderate rain,9.06,76,9.26,260
2023-04-10,17:10:02,moderate rain,9.06,76,9.26,260
2023-04-10,17:15:02,light rain,7.83,83,6.17,260
2023-04-10,17:20:01,moderate rain,7.83,83,6.17,260
2023-04-10,17:25:02,light rain,7.83,83,6.17,260
2023-04-10,17:30:02,broken clouds,7.82,81,10.29,270
2023-04-10,17:35:02,broken clouds,7.8,79,10.29,270
2023-04-10,17:40:02,broken clouds,7.8,79,10.29,270
2023-04-10,17:45:02,light rain,7.88,79,9.77,260
2023-04-10,17:50:02,broken clouds,7.8,79,10.29,270
2023-04-10,17:55:02,light rain,7.88,79,9.77,260
2023-04-10,18:00:01,moderate rain,8.14,78,9.77,260
2023-04-10,18:05:02,scattered clouds,8.19,78,9.77,260
2023-04-10,18:10:01,scattered clouds,8.14,78,9.77,260
2023-04-10,18:15:02,light rain,8.25,76,8.23,260
2023-04-10,18:20:02,light rain,8.25,76,8.23,260
2023-04-10,18:25:01,moderate rain,8.13,77,8.23,260
2023-04-10,18:30:02,light rain,8.05,78,8.23,260
2023-04-10,18:35:01,scattered clouds,7.87,79,8.23,260
2023-04-10,18:40:02,scattered clouds,7.87,78,8.23,260
2023-04-10,18:45:02,scattered clouds,7.87,78,8.23,260
2023-04-10,18:50:01,scattered clouds,7.87,78,8.23,260
2023-04-10,18:55:02,scattered clouds,7.87,78,8.23,260
2023-04-10,19:00:02,moderate rain,7.74,79,11.32,270
2023-04-10,19:05:02,light rain,7.68,79,11.32,270
2023-04-10,19:10:02,moderate rain,7.74,79,11.32,270
2023-04-10,19:15:01,broken clouds,7.7,79,11.32,270
2023-04-10,19:20:01,scattered clouds,7.36,78,6.69,250
2023-04-10,19:25:02,scattered clouds,7.36,78,6.69,250
2023-04-10,19:30:02,scattered clouds,7.29,78,6.69,250
2023-04-10,19:35:02,scattered clouds,7.29,78,6.69,250
2023-04-10,19:40:02,scattered clouds,7.04,79,6.69,250
2023-04-10,19:45:01,scattered clouds,7.04,79,6.69,250
2023-04-10,19:50:02,few clouds,7.06,80,7.2,260
2023-04-10,19:55:02,few clouds,7.06,80,7.2,260
2023-04-10,20:00:01,few clouds,7.06,80,7.2,260
2023-04-10,20:05:02,few clouds,6.99,80,7.6,231
2023-04-10,20:10:02,few clouds,7.06,80,7.2,260
2023-04-10,20:15:01,few clouds,6.86,81,7.2,260
2023-04-10,20:20:02,scattered clouds,6.45,81,9.77,260
2023-04-10,20:25:02,scattered clouds,6.45,81,9.77,260
